Title,Date Checked Out,Number of Pages,Cover Image
"I survived the Black Death, 1348",2026-08-10,114,covers/i-survived-the-black-death-1348.jpg
Emma all stirred up!,2026-08-28,147,covers/emma-all-stirred-up.jpg
Big Nate : very funny!,2026-08-28,348,covers/big-nate-very-funny.jpg
Dinosaurs before dark,2026-08-28,154,covers/dinosaurs-before-dark.jpg
"FGTeev. [7], The big shrink!",2026-08-28,208,covers/fgteev-7-the-big-shrink.jpg
Yokai cats. 3,2026-08-28,129,covers/yokai-cats-3.jpg
Revolting Rhymes: Cinderella,not applicable,32,covers/revolting-rhymes-cinderella.jpg
Harry Potter and the Prisoner of Azkaban,not applicable,336,covers/harry-potter-and-the-prisoner-of-azkaban.webp
Secrets of the purple pearl,2026-08-21,239,covers/secrets-of-the-purple-pearl.jpg
"The courageous princess. Volume 3 of 3, The dragon queen",2026-08-21,180,covers/the-courageous-princess-volume-3-of-3-the-dragon-queen.jpg
"The courageous princess. Volume 2 of 3, The unremembered lands",2026-08-21,228,covers/the-courageous-princess-volume-2-of-3-the-unremembered-lands.jpg
Bubble trouble,2026-08-13,221,covers/bubble-trouble.jpg
"Team Unihorn and Woolly. #2, Revenge of the unicorn",2026-08-13,90,covers/team-unihorn-and-woolly-2-revenge-of-the-unicorn.jpg
Dawn of the dino tooth fairies,2026-08-13,92,covers/dawn-of-the-dino-tooth-fairies.jpg
Sink or swim,2026-08-13,310,covers/sink-or-swim.jpg
Hotel Transylvania. Vol.  1 : Kakieland katastrophe,2026-08-13,64,covers/hotel-transylvania-vol-1-kakieland-katastrophe.jpg
"The courageous princess. Volume 1 of 3, Beyond the hundred kingdoms",2026-08-13,237,covers/the-courageous-princess-volume-1-of-3-beyond-the-hundred-kin.jpg
Big Nate. Remain calm!,2026-08-13,172,covers/big-nate-remain-calm.jpg
Goldilocks : wanted dead or alive,2026-08-13,329,covers/goldilocks-wanted-dead-or-alive.jpg
"Big Nate. Next stop, superstardom!",2026-08-13,220,covers/big-nate-next-stop-superstardom.jpg
FGTeev blasts off!,2026-08-03,208,covers/fgteev-blasts-off.jpg
Mapmakers and the flickering fortress,2026-08-03,223,covers/mapmakers-and-the-flickering-fortress.jpg
Mapmakers and the enchanted mountain,2026-08-03,225,covers/mapmakers-and-the-enchanted-mountain.jpg
Here and there,2026-08-03,40,covers/here-and-there.jpg
"Unico. 3, Lost",2026-07-30,216,covers/unico-3-lost.jpg
Kiki's delivery service,2026-07-30,193,covers/kiki-s-delivery-service.jpg
100 cupboards : the graphic novel,2026-07-28,240,covers/100-cupboards-the-graphic-novel.jpg
Princess academy : the graphic novel,2026-07-28,279,covers/princess-academy-the-graphic-novel.jpg
A lost revenge,2026-07-17,164,covers/a-lost-revenge.jpg
"Teen Titans Go! Volume 2, Welcome to the pizza dome",2026-07-17,130,covers/teen-titans-go-volume-2-welcome-to-the-pizza-dome.jpg
Mapmakers and the lost magic,2026-07-17,245,covers/mapmakers-and-the-lost-magic.jpg
Crush,2026-07-17,234,covers/crush.jpg
Just roll with it,2026-07-17,318,covers/just-roll-with-it.jpg
Detective Beans & the case of the missing hat,2026-07-17,205,covers/detective-beans-the-case-of-the-missing-hat.jpg
Time buddies. 1,2026-07-17,149,covers/time-buddies-1.jpg
"Time buddies. Past, present, hooture",2026-07-17,153,covers/time-buddies-past-present-hooture.jpg
FGTeeV saves the world!,2026-07-17,208,covers/fgteev-saves-the-world.jpg
If the shoe fits,2026-07-10,155,covers/if-the-shoe-fits.jpg
"Witches of Brooklyn. 5, Curse & reverse",2026-07-10,250,covers/witches-of-brooklyn-5-curse-reverse.jpg
Adorable empire : a graphic novel,2026-07-10,224,covers/adorable-empire-a-graphic-novel.jpg
The lost hero,2026-07-10,557,covers/the-lost-hero.jpg
S'more magic,2026-07-10,211,covers/s-more-magic.jpg
"Witches of Brooklyn. 4, Spell of a time",2026-07-10,217,covers/witches-of-brooklyn-4-spell-of-a-time.jpg
Tales from a not-so-fabulous life,2026-07-06,362,covers/tales-from-a-not-so-fabulous-life.jpg
Ghost boys : the graphic novel,2026-07-06,253,covers/ghost-boys-the-graphic-novel.jpg
Stuck,2026-07-06,209,covers/stuck.jpg
Wrong friend,2026-07-06,252,covers/wrong-friend.jpg
Truth or dare..,2026-07-06,149,covers/truth-or-dare.jpg
Unicorn boy. 1,2026-07-06,203,covers/unicorn-boy-1.jpg
Wrath of the triple goddess,2026-07-06,322,covers/wrath-of-the-triple-goddess.jpg
The Magical Unicorn Society official handbook,2026-07-06,120,covers/the-magical-unicorn-society-official-handbook.jpg
"Witches of Brooklyn. 2, What the hex?!",2026-06-27,220,covers/witches-of-brooklyn-2-what-the-hex.jpg
White fox in the forest,2026-06-27,280,covers/white-fox-in-the-forest.jpg

Total number of books,53
Total number of pages,11264
Time since first checkout,0y 1m 28d (58 days total)
